memory_id,user_id,timestamp,memory_text,category,importance_score,emotional_score,keywords,embedding_vector,source,last_accessed,access_count,expiry_score,context_tags,linked_memories,sentiment,confidence_score
M0001,U170,2024-12-07 14:34:46,User practices coding daily,career_goal,3.4,9.0,"AI, learning, career","[0.4504, 0.5039, 0.5129, 0.3173, -0.8884]",chatbot,2025-02-10 14:34:46,5,0.77,"technology, education","M0316, M0258",negative,0.5
M0002,U240,2025-12-01 14:34:46,User practices coding daily,project,2.2,9.0,"AI, learning, career","[-0.6417, -0.7343, 0.2356, 0.1053, 0.4763]",chatbot,2026-01-02 14:34:46,10,0.28,"technology, education","M0423, M0913",positive,0.84
M0003,U181,2025-07-15 14:34:46,User is building an AI memory engine,schedule,3.6,5.9,"AI, learning, career","[-0.2517, -0.0151, -0.7592, 0.3516, -0.3168]",document,2025-10-01 14:34:46,2,0.54,"technology, education","M0798, M0626",positive,0.94
M0004,U227,2026-01-10 14:34:46,User completed a cloud computing project,event,9.5,9.8,"AI, learning, career","[0.0417, -0.166, 0.3924, 0.0116, 0.3422]",document,2026-03-24 14:34:46,20,0.34,"technology, education","M0729, M0663",neutral,0.74
M0005,U177,2024-12-09 14:34:46,User enjoys studying machine learning,career_goal,2.5,8.2,"AI, learning, career","[-0.7143, 0.8461, -0.5892, -0.8007, 0.2517]",voice,2025-03-27 14:34:46,17,0.26,"technology, education","M0393, M0674",neutral,0.85
M0006,U077,2026-05-15 14:34:46,User completed a cloud computing project,skill,6.3,9.7,"AI, learning, career","[-0.2958, -0.4944, -0.0178, -0.6511, 0.0986]",chatbot,2026-06-11 14:34:46,4,0.71,"technology, education","M0565, M0297",negative,0.64
M0007,U249,2025-05-16 14:34:46,User completed a cloud computing project,skill,4.3,7.4,"AI, learning, career","[-0.4177, 0.633, 0.9948, 0.9219, 0.0626]",image,2025-06-14 14:34:46,5,0.88,"technology, education","M0575, M0514",positive,0.8
M0008,U239,2026-04-05 14:34:46,User enjoys studying machine learning,study,6.5,8.1,"AI, learning, career","[-0.6245, -0.5947, -0.6228, -0.0063, 0.7738]",chatbot,2026-07-25 14:34:46,19,0.59,"technology, education","M0720, M0896",negative,0.54
M0009,U068,2024-06-25 14:34:46,User is building an AI memory engine,relationship,6.6,7.2,"AI, learning, career","[0.6693, -0.9847, 0.9516, 0.8346, 0.4535]",document,2024-10-13 14:34:46,4,0.23,"technology, education","M0171, M0552",negative,0.82
M0010,U048,2026-05-11 14:34:46,User wants to become an AI engineer,habit,1.3,7.4,"AI, learning, career","[-0.7264, 0.0204, -0.7097, -0.685, 0.8138]",document,2026-05-14 14:34:46,1,0.4,"technology, education","M0564, M0137",positive,0.84
